title,ID,views,publishedTime,Video_seq
BEST SOUP FOR WINTER CAMPING | Tent vs. Rooftop Tent,KPk0UTsuqfE,"189,367 views",2 years ago,159
How To Make Stocked Trout Taste Great | Rainbow Trout Catch and Cook Japanese Recipe,6SCGAPtTisI,"135,545 views",2 years ago,160
How I Made This Perfect Smoked Salmon,0qIbA0lvUxg,"148,988 views",2 years ago,161
LAKE WITH THE WORLD'S LARGEST CUTTHROAT TROUT | Catch and Cook Trout,i08p78zhjFI,"142,763 views",2 years ago,162
COASTAL FORAGING FOR HOTPOT INGREDIENTS | Catch and Cook Spicy Hotpot,X64UA0zy0Mw,"196,205 views",2 years ago,163
HOW TO MAKE INCREDIBLY BEAUTIFUL LOBSTER SUSHI | Butter Poached Spiny Lobster,1G670fr5jeM,"124,237 views",2 years ago,164
SUSHI CHEF CATCHES A BONITO and Creates Epic Dish On The Boat,6QHiX6JBe3g,"173,957 views",2 years ago,165
COASTAL FORAGING FOR RAZOR CLAMS and Making Delicious Manhattan Clam Chowder,EE3pACSYbc0,"226,074 views",2 years ago,166
JACKPOT OF WILD VIBRANT MUSHROOMS Into A Masterpiece Dish  | Lobster Mushrooms,8w_CE4T0ips,"181,215 views",2 years ago,167
RAW OYSTERS vs. RAW CLAMS with a Side Of Paella,AGqJCsnOy00,"313,672 views",2 years ago,168
DELICIOUS CAMP MEAL IDEA | Grilling Wagyu Short Rib | Mushroom Foraging,UjMjenoqVRU,"274,076 views",2 years ago,169
TREASURE OF THE WOODS | Truffle Hunting With Truffle Dogs,_PA0dQCtNXs,"196,260 views",2 years ago,170
THE BEST OPEN FIRE CRAB DISH | Dungeness Crab Catch And Cook,CX10zCCrnaE,"478,478 views",2 years ago,171
MUST TRY SHARK RECIPE Catch and Cook Spiny Dogfish,uv-uBaKhvLA,"153,202 views",2 years ago,172
EATING RAW SQUID Right After We Catch Them! Squid Sustainability,XoQ9eH9__aA,"161,507 views",2 years ago,173
Delicious Flounder Catch and Cook | Also Caught The STRANGEST/CUTEST Fish,Ftrc8uYP2KQ,"171,509 views",2 years ago,174
SUSHI CHEF + ARTIST TAG TEAM Wild Caught Salmon | Gyotaku | Catch and Sushi,mE5K3MI05eg,"351,818 views",2 years ago,175
BONITO: ANOTHER TRASH FISH? San Diego Trip/ Vlog,yZkVUaJUwGw,"145,497 views",2 years ago,176
PLAN B: EAT THE BAIT Which Happened To Be A Huge Eel | Tom Kha (Thai Coconut Soup),Thg5EeceE7Q,"122,829 views",2 years ago,177
New Challenge: ONLY USE WHAT YOU CATCH Not Even Salt | Creating an Entire Dish,rt_jIm4WDjI,"673,858 views",2 years ago,178
New Species! FAVORITE WAY TO COOK FLATFISH | Catch And Cook,IYPI_jijAM8,"143,046 views",2 years ago,179
TURNING WATERMELON INTO VEGAN TUNA | Does It Actually Taste Like Tuna?,30hhXePAXpY,"177,595 views",2 years ago,180
"SUSHI..BURRITO...""SUSHIRRITO"" King Salmon | Catch And Sushi",5vrWSSbZ0pE,"287,694 views",2 years ago,181
KAYAK FLIPPED BY A WAVE After Catching A White Seabass and King Salmon,sZrPNj4BtiU,"102,960 views",2 years ago,182
ARE ALL SEAWEED EDIBLE?? Trying 5 Different Seaweeds | Sustainable Coastal Foraging,wGh6mizPVKU,"168,443 views",2 years ago,183
RECREATING GORDON RAMSAY'S SALMON DISH With My Fresh Catch | Catch And Cook,wCkTLkmf4MQ,"332,880 views",2 years ago,184
DELICIOUS CRAWFISH CATCH AND COOK,HZKl-fLyK00,"1,135,162 views",3 years ago,185
BEST TASTING SUSTAINABLE SEAFOOD | Catch And Cook Squid 3 Ways,yN8FSQ5a3KE,"311,605 views",3 years ago,186
Spear and Sushi CLIFFSIDE SUSHI MAKING | Using Random Ingredients,#NAME?,"247,525 views",3 years ago,187
BEST WAY TO EAT YELLOWTAIL | She Caught The Biggest Fish,VaSXZojyhpU,"467,031 views",3 years ago,188
EATING PRACTICALLY LIVE SQUID + Catch And Sushi Mackerel,loJHLnjbgZU,"1,212,836 views",3 years ago,189
BEST CAMP FOOD | What To Make When You Go Camping,6E8IoXubtSo,"515,628 views",3 years ago,190
EPIC SALMON SUSHI PLATTER Using My Wild Salmon Catch | Part 2,5qtiqsmxp8Y,"741,063 views",3 years ago,191
The CHASE FOR WILD SALMON ON KAYAK | Catch And Cook King Salmon | Part 1,OfokgFKKklY,"647,443 views",3 years ago,192
SMOKED UNI(Sea Urchin) I Was Not Expecting That | Coastal Foraging,slLTwe5lIbE,"270,679 views",3 years ago,193
BEST CATCH AND COOK ANCHOVIES You Will Ever See,Dhdtor9fHqs,"278,606 views",3 years ago,194
SHARK Catch and Cook | How To Properly Harvest A Leopard Shark,oMFosH8J6FY,"273,764 views",3 years ago,195
Catch and Cook DELICIOUS JAMAICAN RECIPE | Escovitch Fish,Hga_XSLfuJI,"169,847 views",3 years ago,196
THE BEST WAY TO MAKE FISH TACOS??  Game Changer Catch And Cook,wP007Z1WlYo,"478,791 views",3 years ago,197
THESE WEIRD CLAMS SQUIRT SO MUCH | Strange But Tasty Clam Tostada | Catch and Cook,qD4jPq6m37k,"179,244 views",3 years ago,198
The Ultimate Halibut Catch and Cook | Top 3 Ways to Prepare Halibut,PpmY2yRUXQo,"775,333 views",3 years ago,199
Catch and Cook Food Experiment | MUST TRY!!,01H375NZ4DQ,"218,789 views",3 years ago,200
BEST STRIPED BASS CATCH AND COOK | Vietnamese Style Dish,mt9K98q2wz4,"461,714 views",3 years ago,201
BEST TIPS FOR KNIFE SHARPENING | Double Bevel Knives,3tyajZYWtuY,"49,303 views",3 years ago,202
BEAUTIFUL SAKURA(Cherry Blossom) JAM | Seasonal Delicacy,myJ00iLunCM,"44,703 views",3 years ago,203
Expert Level Sushi Rice | The Most Difficult Rice To Make,hsBHBMrm-wg,"811,346 views",3 years ago,204
How To Make Sushi Vinegar | Recipe,JfW9nSqy_3Q,"341,179 views",3 years ago,205
TURNING FOOD SCRAPS Into Delicious Food | Osaka Style Okonomiyaki,242xrTc5saE,"110,775 views",3 years ago,206
BEST BUDGET ($6-$26) KNIFE SHARPENING For Japanese Knives,_yCtrdTfFrM,"65,005 views",3 years ago,207
THE LAST CATCH AND COOK | Shore Fishing | Cabezon,l1Mf7-LiTfw,"269,096 views",3 years ago,208
BEST WAYS TO EAT NATTO | Slimy Fermented Soy Beans,AdpDxGF_RfE,"268,873 views",3 years ago,209
BEST DUNGENESS CRAB RAMEN!!  Catch and Cook,#NAME?,"557,571 views",3 years ago,210
The MOST DETAILED How To Make Nigiri Sushi From Whole Fish,ZOZYhTMTvbs,"370,348 views",3 years ago,211
"Best Japanese Style Knife On a Budget $40-$70 | 8"" Gyuto Comparison",rVk42APDfV0,"2,035,333 views",3 years ago,212
Creating A Beautiful Bowl Of Tuna Without Leaving The House! Seafood Delivery,_tUO28-cPyY,"169,733 views",3 years ago,213
What To Use As Toilet Paper When We Run Out!!,0Gt7-GGwjno,"39,608 views",3 years ago,214
Catch and SUSHI CRAPPIE?!?! Fishing For BIG Crappie | Freshwater Fishing,6S3i_x-gKKw,"347,370 views",3 years ago,215
Why KELP Is the Next Big SUSTAINABLE FOOD TREND Explained | Clam Kelp Recipe | Coastal Foraging,N2elSzq3ERo,"182,473 views",3 years ago,216
Identifying EDIBLE RESOURCES In The Streets Of San Francisco | Urban Foraging,pgUHVF7U56I,"82,557 views",3 years ago,217
"Catch and Cook ""MINI HALIBUT"" | Perfect Easy Recipe | Sanddabs | Giveaway",qh1Muiz_rAw,"159,503 views",3 years ago,218
Can a Sushi Chef Tell the Difference Between DUNGENESS and ROCK CRAB? Catch and Sushi,_ywQyYKjpmA,"219,490 views",3 years ago,219
THE BEST LOBSTER CATCH AND COOK | Eating Raw Lobster and Lobster Ramen,J0pS2lhH0Vc,"2,604,124 views",3 years ago,220
I MADE SUSHI FOR 50 SUBSCRIBERS | Herring Roe Hand Roll,Vdxw9wmlFGU,"123,768 views",3 years ago,221
I Helped a Subscriber CATCH HIS FIRST FISH | Best Surfperch Recipe | Fighting Cancer,hWmajH0Opic,"88,987 views",3 years ago,222
FORAGING THE KING OF MUSHROOMS | Delicious Forage and Cook Matsutake,K8ihcRLieYU,"296,556 views",3 years ago,223
SUSHI CHEF CREATES UNAGI FROM EEL LIKE FISH | Easiest Fishing Method,oWJqQTrd3xg,"370,294 views",3 years ago,224
Two Chefs Create EPIC SEAFOOD TOWER Using ONLY FORAGED INGREDIENTS | Coastal Foraging,rfU8_IvMvLo,"492,266 views",3 years ago,225
ONE OF NATURE'S STRANGEST LOOKING DELICACIES | Coastal Foraging For Big Clams,Ljc3az0-SGU,"623,013 views",3 years ago,226
THE NEXT BIG SUSTAINABLE FOOD TREND | Must Try Kelp Pickles,SXhXK2CcCic,"722,515 views",3 years ago,227
MOUTHFUL OF DUNGENESS CRAB IN EVERY BITE | Epic Dungeness Catch and Cook,yZjbF3q8YzE,"342,680 views",3 years ago,228
EATING $100 WORTH OF UNI FOR FREE | How To Tell The Sex of a Sea Urchin,cKb5L5pFZSg,"239,257 views",3 years ago,229
MOST DELICIOUS TROUT CATCH AND COOK | Fresh Water Fishing,dvkdy7G1Q7Q,"438,006 views",3 years ago,230
EVERYTHING YOU NEED TO KNOW TO FORAGE BEST MUSSELS | Perfect Recipe | Forage and Cook,EiGrYxsD6Dw,"223,498 views",3 years ago,231
I FOUND A BIG CLUSTER OF WILD MUSHROOMS | Forage and Cook,rCXk2MnwXl8,"331,385 views",3 years ago,232
COASTAL FORAGING FOR DELICIOUS LITTLE CLAMS | How To Sustainably Harvest | Simple Recipe,8fVvkYEBuiY,"196,675 views",3 years ago,233
CATCHING UNIQUE THAI FISH | Catch and Cook Thai Style Tilapia,AdxSFXcZds0,"202,884 views",3 years ago,234
THIS FISH PUT MY FILLETING SKILLS TO THE TEST | Deep Sea Fish | Catch and Cook,9mhd4myg15E,"501,858 views",3 years ago,235
CATCHING A SHARK and Non-Stop Mahi Mahi Action From SHORE | Catch and Cook | Fishing Japan,Gt1Pzyqo_nQ,"274,435 views",3 years ago,236
"SPEARFISHING IN OKINAWA, JAPAN | 1 Pot Recipe Catch and Cook",pgQU8boqj_4,"100,338 views",3 years ago,237
CATCHING MAHI MAHI FROM SHORE!! Catch and Cook | Okinawa Specialty,SoHkWnDT1Cc,"302,256 views",3 years ago,238
CAMPING IN JAPANESE COUNTRY SIDE!! My Back Story + Catch and Cook,VNLI8rrAMY4,"179,482 views",3 years ago,239
THE BEST CATCH AND COOK | Beautiful Japanese Scenery,81a0RhljFPU,"902,374 views",3 years ago,240
CATCH AND COOK DELICIOUS SQUID!! OSAKA RECIPE | Fishing in Japan,qSN3haDE99U,"1,359,101 views",3 years ago,241
CATCH AND SUSHI IN JAPAN!! Secret Sushi Chef Techniques to Fillet Fish | Sukibiki,9wuhd3irXmk,"331,081 views",3 years ago,242
EPIC SUSHI PLATTER Made With A Catch Off a Dangerous Cliff!,aoRgy7a49TQ,"402,259 views",3 years ago,243
How to Fillet WEIRD FISH | Hawaii | Travel Update,qEY-JNi-dFo,"68,829 views",3 years ago,244
Catch and Cook OCTOPUS | BEST OCTOPUS DISH | Takoyaki!,rg3Vye7NpDE,"392,222 views",3 years ago,245
Catch and Cook LOBSTER  Diving with HAWAII NATIVES!!,CFssxm-HZjQ,"574,163 views",3 years ago,246
Exploring Maui's Tide Pool! Trying Different Types of Uni(Sea Urchin),IyGaRIioEO4,"137,183 views",3 years ago,247
Hunting Down Needlefish in the DARK! Catch and Sushi Ep.14,0utGKnJqPSk,"283,713 views",3 years ago,248
NEW SERIES: Outdoor Chef Life TRAVEL CATCH AND COOK!! Hawaii Edition,_rkDaPqXr1o,"297,459 views",3 years ago,249
Another DELICIOUS UNI(Sea Urchin) DISH For You To Try!!! Freediving in California,EkGAlgIETXQ,"171,792 views",3 years ago,250
Camping In the Sierra Mountains + First Time FLY FISHING!!,EzJLHMUH-lw,"149,396 views",3 years ago,251
The Most TASTY and JUICY Way to cook a Fish!! Going FULL-TIME YOUTUBE!,78Qu8kfGPQ4,"134,742 views",3 years ago,252
Outdoor Chef Life Serves Sushi Tasting Menu at Hinata in San Francisco,diH7KV7DKbU,"241,558 views",3 years ago,253
Turning LINGCOD into DELICIOUS SUSHI!! (Catch and Sushi Ep.13),yzFvD-fG__8,"178,645 views",3 years ago,254
Catch and Cook Lingcod LIVER!! +Boat RUNS OVER KAYAKER,exXm9bgW8Sg,"175,764 views",3 years ago,255
EASY Fish to Catch and Turn into SASHIMI!! Fishing in LA,veoeygUHoPs,"195,211 views",3 years ago,256
My GIRLFRIEND Did a Catch and Cook!!!,uAUHhZzblA8,"320,758 views",3 years ago,257
How to Sharpen Knives and PROPERLY Fillet Fish for BEST RESULT!!,GBdfddd-co8,"141,854 views",4 years ago,258
Why you SHOULD Harvest Sea Urchin(Uni)! JAPANESE Uni Dish Vs. FRENCH Uni Dish!!,mx0OFqIVT8Q,"320,342 views",4 years ago,259
Catch and Cook BATRAY! Delicious Recipe!!,13RPH6q-01M,"415,022 views",4 years ago,260
Two Sushi Chefs Catch and Prepare BLUEFIN TUNA,ZsVysfUzgkA,"1,145,687 views",4 years ago,261
"Two Chefs, Two TOTALLY DIFFERENT Cooking Styles",bWs3-ZNzHxQ,"159,133 views",4 years ago,262
Two Sushi Chefs FORAGE for SUSHI Ingredients!! [Catch and Sushi Series Ep.11],Hpbq2tZtZyE,"2,749,362 views",4 years ago,263
Catch and SMOKE TROUT!! How to BUTTERFLY TROUT,Dxta1hOeNO0,"228,110 views",4 years ago,264
EASY and DELICIOUS Catch and Cook You Can Try!! JACKSMELT,SJEPn4OMpck,"218,522 views",4 years ago,265
Catch and Cook SHARK!! SO GOOD!,tHtcypHz1FE,"743,773 views",4 years ago,266
Striped Bass SASHIMI!! Catching and Eating RAW STRIPER,pXmbW0eLLk4,"183,419 views",4 years ago,267
Catching Halibut and Making DELICIOUSLY FRESH SUSHI (Catch and Sushi Series Ep.10),tJSu0PInUFs,"409,500 views",4 years ago,268
Freediving and Eating DELICIOUS RAW SCALLOPS!!,P-f52cYMf0w,"259,610 views",4 years ago,269
Catching Fish Under HUGE BOULDERS! Catch and Cook ONIGIRI!,OggPQUImyQ0,"318,083 views",4 years ago,270
Catch and Cook AMAZING SEAFOOD PAELLA!!,WILhr8RBzmk,"1,902,558 views",4 years ago,271
"Camp, Catch, and Cook: BEST CRAB EGG BENEDICT EVER!!",r3EqBwGOUKk,"388,481 views",4 years ago,272
FREEDIVE Catch and Cook This HUGE....!!,4VCWeoFJAto,"81,457 views",4 years ago,273
Coastal Foraging with INSTA FAMOUS Corgi and Foodie,FvaPZQOcnuA,"196,540 views",4 years ago,274
Catch and SUSHI EEL Ep.9!! How To Fillet Eel For Sushi!,c_TgxEqYfTo,"980,553 views",4 years ago,275
Can You EAT GHOST SHRIMP?! WEIRDEST SHRIMP EVER!!,wPki-lDD1xA,"179,877 views",4 years ago,276
Gettin' DIRTY with FISHERMAN'S LIFE: Making Clam SUSHI,qK3JjsTlQQU,"360,996 views",4 years ago,277
Catch and Cook: BEER BATTER FISH TACOS!!,hpBymhK0zxc,"178,695 views",4 years ago,278
7 Edible Plants and 1 DEADLY Plant!! Making Spring Rolls,BzFXCp2LrEk,"116,471 views",4 years ago,279
Turning DISGUSTING SAND FLEAS Into DELICIOUS SUSHI!!,BbLepp8PYEE,"725,674 views",4 years ago,280
Coastal Foraging: Making DELICIOUS Seafood RAMEN,C25SkM9n1C0,"297,212 views",4 years ago,281
"Rotten Shark Challenge! ""Most disgusting and terrible tasting thing"" -Anthony Bourdain",zYWudRZKguw,"46,688 views",4 years ago,282
Catch and Sushi Series Ep.6: Herring Eggs,zH1SDqLImtw,"430,839 views",4 years ago,283
Coastal Foraging: Rare Find In Northern California Coast!! Making Ceviche,3UcCZ93XIWU,"580,146 views",4 years ago,284
Catch and Sushi Series Ep.5: Octopus and Red Urchin,mRjTtu09Rbs,"700,633 views",4 years ago,285
Coastal Foraging in Southern California: Differences Between SoCal vs. NorCal,e2hN3fuNGvU,"151,805 views",4 years ago,286
"Catch, Cook, and Camp! Amazing Tide Pool Creatures!!",2WJdizw1Kh4,"232,862 views",4 years ago,287
Catch and Sushi Series Ep. 4: Dungeness crab!,bGLJH5l5bFI,"265,953 views",4 years ago,288
Foraging for Wild MUSHROOMS (Catch and Sushi Ep.3),Q1nsL-JmhMI,"79,782 views",4 years ago,289
Catch and SUSHI Ep.2: UNI (Sea Urchin),Giv3ykfnuVc,"895,371 views",4 years ago,290
Catch and Cook BIG OL' FISH HEAD!!,yiwSP1z70F0,"48,487 views",4 years ago,291
Personal Best Day of Fishing!! 'Put Him in the Bag 2018' Tournament,ADDsThx8I1o,"55,843 views",4 years ago,292
"Coastal Foraging for Beginners: Where, When, & How to Harvest Mussels",fGtnkhhO2zg,"140,745 views",4 years ago,293
New Series: Catch and SUSHI!! Episode 1 California Roll,a7gPVBx0DVw,"459,491 views",4 years ago,294
Catch and Cook: BEST FISH TACO RECIPE!!,jB31YeG-f70,"176,360 views",4 years ago,295
Coastal Foraging: Easy to Find,ElR-wkg7k80,"66,157 views",4 years ago,296
Catch and cook: Monkeyface Thai Curry! After a series of unfortunate events,_sp6a8LSg3U,"107,721 views",4 years ago,297
SHARK encounter first time spearfishing! GIVEAWAY details!!,VZKbro1hBtA,"83,985 views",4 years ago,298
Foraging for edible plants: Nasturtium and blackberry,0VUIPKCu55I,"16,831 views",4 years ago,299
Coastal foraging for beginners: EASIEST shellfish to forage! + Making RISOTTO,2uqKNt7oeh4,"171,805 views",4 years ago,300
Catch and cook my first LINGCOD!!,ZEi6UMQy-ls,"202,518 views",4 years ago,301
Catch and SASHIMI SURFPERCH?? GOOD or GROSS? ft. Ish With Fish,dG6_uJLktUk,"157,602 views",4 years ago,302
Coastal foraging: Making the BEST clam carpaccio with Philosophy D!!,FP6ekrLCxOQ,"224,597 views",5 years ago,303
Catch and cook surfperch with Bay and Beyond Fishing,YNk80JBJbE8,"63,376 views",5 years ago,304
Coastal foraging for seaweed in HMB: making Trader Joe's seaweed snack,LELcjgZbWEQ,"69,229 views",5 years ago,305
Foraging for clams and eating clam SASHIMI + clam chowder,RiLjXwuZXkQ,"219,282 views",5 years ago,306
Coastal foraging: Making seafood chowder + weird giant sea creature,Hi-WLzzyOe8,"648,611 views",5 years ago,307
Coastal foraging for uni part 2: Making uni pasta,DB4wZDLoPLI,"46,008 views",5 years ago,308
Camping + Coastal foraging for uni,49t5KW0K7Fg,"205,086 views",5 years ago,309
